rank,members,name,url,category,city,description
283,39580,Цветы | Шары | Доставка | Красноярск,https://vk.com/la_buton24,Цветы,Красноярск,"Почему выбирают нас? • Быстрая доставка за 2 часа. • Флористы профессионалы с флористическим образованием. • Гарантия свежести цветов. Поставки каждые 3 дня, хранение в специальных условиях, чтобы Вам доставались только свежайшие розы. • Бережный уход. Используем эксклюзивные подкормки, для того, чт"
284,39568,Амигуруми ( схемы игрушек мк описания ),https://vk.com/mania_hobby,Творчество,Краснодар,МК от лучших мастеров
285,39550,Candy shop • k-pop albums,https://vk.com/candy_shop_spb,Другие товары,Санкт-Петербург,"Приветствуем Вас в магазинчике k-pop альбомов и прочих вкусностей!   ТГ t.me/candyshopspb  WB clck.ru/3R3xah OZON clck.ru/3R3xa3  Наши преимущества: • Физический магазин в ""Этажах"" на Лиговском (этаж 2.0) • привозим официально и напрямую из Южной Кореи • качественная упаковка и обслуживание • быстра"
286,39547,Philips TV,https://vk.com/philipstvrussia,Бытовая техника,Москва,"Телевизионная техника Philips – это инновационные технологии, которые заботятся о ваших впечатлениях. Откройте доступ к контенту на совершенном новом уровне"
287,39540,Crowd Games. Издательство настольных игр,https://vk.com/crowdgames,Настольные игры,Москва,"Мы издаём лучшие мировые настольные игры на русском языке, предлагая их по доступной цене и без потерь в качестве.  Правила общения в сообществе: vk.com/@crowdgames-pravila-obscheniya-v-soobschestve.  https://www.gosuslugi.ru/snet/6794d961509aba56521d601e  #cg_новостисколёс — новости с колёс, прибыт"
288,39473,Автошкола «Фара»,https://vk.com/auto_fara,Автошкола,Санкт-Петербург,"💬 Более 10 000 положительных отзывов 📱 Собственное мобильное приложение 📍 20 филиалов по всему СПб 💸 Никаких скрытых платежей 💻 Онлайн и офлайн обучение  И это еще не все. Свежие иномарки для вождения, инструкторы с многолетним опытом, вежливые администраторы. Кроме этого всего мы помогаем советами "
289,39436,Вязаные чудеса - игрушки и мастер-классы,https://vk.com/mycrochetwonders,Дизайнер,,"Меня зовут Марина Чучкалова.  Добро пожаловать в мой мир вязаных чудес!  Данная страница сообщества включена в перечень персональных страниц, объем аудитории каждой из которых составляет более десяти тысяч пользователей социальной сети. https://knd.gov.ru/license?id=6762838196de59064d053c6b&registry"
290,39432,Авторазбор Завидовка,https://vk.com/club153939126,Автотовары,Завидовка,"Авторазбор Завидовка , продажа б/у запчастей и кузовных деталей.       В разборе имеется большое количество авто, как отечественных, так и иномарок.     Режим работы с 9:00 до 17:00.        ВТОРНИК ВЫХОДНОЙ!!! Узнать наличие запчастей можно в ватсап и вайбер по номеру +7 951 142-29-22 Александр (тол"
291,39408,КУКЛЫ и ИГРУШКИ РУЧНОЙ РАБОТЫ. СПб,https://vk.com/pulinka_toys,Творчество,Санкт-Петербург,"Интерьерные игрушки. Санкт-Петербург. Я Катя Пулина, создаю интерьерные куклы ручной работы c 2015 года) Кукла - отличный, эксклюзивный подарок на свадьбу, юбилей, день рождения для ребенка, для взрослого и конечно же для себя :))) Все игрушки ручной работы в единственном  экземпляре.  На стене груп"
292,39403,"Авто из Китая, Кореи, Европы и Японии | Абр",https://vk.com/avtobezriskov,Услуги для автовладельцев,Москва,Заявление в РКН № 7106854564  🚗 Автомобили из-за рубежа БЕЗ РИСКОВ 🇨🇳 Китай | 🇰🇷 Корея | 🇪🇺 Европа | 🇯🇵 Япония  📌 Почему доверяют автобезрисков.рф: 🔹 10 лет опыта в профессиональном автоподборе 🔹 1000+ автомобилей успешно привезено из-за рубежа 🔹 Прозрачная работа и сопровождение на всех этапах 🔹 То
293,39401,Nemoloko,https://vk.com/etovamnemoloko,"Диеты, здоровое питание",,"№4937882490 №4937997373   Nemoloko — это здоровый и полезный продукт, который можно и нужно включать в рацион питания.   Nemoloko — это гуманный продукт для всех — для людей, для животных и для окружающей нас среды.  Используйте Nemoloko вместо молока.  Мы уверены — вам понравится.  Регистрация в пе"
294,39395,"Anastasia Petrova. Платья, юбки, платки.",https://vk.com/apfashion,"Одежда, обувь",Москва,"Каталог товаров: https://vk.com/market-47105838 . 📌Внимание!  Участились случаи мошенничества, когда вам пишут с незнакомых страниц. Будьте внимательны!"
295,39347,Детская одежда Safon,https://vk.com/safon.brand,"Одежда, обувь",Краснодар,"Детская одежда Safon -  сочетание  комфорта и стиля!  👶🏻 Одеваем деток от 50 до 98 размера Комбинезоны, костюмы, шапки, слипы, боди  📱 Мы есть на Wildberries, Ozon  *Индивидуальный предприниматель Сафонова Оксана Юрьевна.  ИНН: 235309481800  Свидетельство на товарный знак ""SAFON""  №933658"
296,39334,Атоми Корейская Косметика и Здоровье | Atomy 美,https://vk.com/atomy__cosmetics,"Парфюмерия, косметика",,Атоми — Клубный интернет-магазин из Южной Кореи 🇰🇷 Работаем в 53 странах и имеем 16 млн. счастливых клиентов. Премиаль ная продукция по по доступной цене.  Дистрибьютер Компании 💙  👌 Оригинальная продукция из Кореи; 📦 Низкие цены для участников клуба; 🚛 Бесплатный самовывоз / доставка; 🥰 Покупайте б
297,39318,Поставщик Садовод Б-2Д-101 | Москва C&C Store,https://vk.com/ccs_ccs,"Одежда, обувь",Москва,"Привет!  Мы — C&C Store (Ji-Cat Cat-Store), поставщики одежды с рынка Садовод в Москве.  📍Наш павильон находится по адресу:  г. Москва, МКАД, 14-й километр, стр. 4, рынок Садовод, ТЦ, корпус Б, 2 этаж, линия Д, павильон 101. 📍   Мы специализируемся на женской одежде и предлагаем выгодные условия для"
298,39311,МАГАЗИН ХИП-ХОП ОДЕЖДЫ - MAD DEUCE HIP-HOP SHOP,https://vk.com/maddeucestore,"Одежда, обувь",Москва,"МАГАЗИН HIP-HOP и R'n'B  ОДЕЖДЫ «MAD DEUCE»(Мэд Дьюс) В МОСКВЕ - vk.com/page-1269569_7466455, ИЛИ ДОСТАВКА ПО РОССИИ - vk.com/page-1269569_43896033. ЗАКАЗЫ ПРИНИМАЕТ ТОЛЬКО - http://vk.com/maddeuce !!! ОСТАЛЬНОЕ МОШЕННИКИ !!! Наш магазин представляет Вам широкий ассортимент модной молодежной одежды,"
299,39311,Jenavi - ЮВЕЛИРНАЯ БИЖУТЕРИЯ online shop JEVI.RU,https://vk.com/jevi_ru,"Украшения, бижутерия ",,ЮВЕЛИРНАЯ БИЖУТЕРИЯ С КРИСТАЛЛАМИ SWAROVSKI  ----------------------------------------------------------- ----------------ИНТЕРНЕТ-МАГАЗИН----------------- ----------------WWW.JEVI.RU —--------------------- ----------------------------------------------------------  Добро пожаловать в нашу группу.  В
300,39257,Лоскутное шитьё / Марина Сохончук,https://vk.com/clubroolen,Творчество,Волгоград,"Лоскутные мастер-классы, совместные пошивы, идеи и вдохновение.  Здесь всегда интересно! Присоединяйтесь!"
301,39218,Прелесть Professional,https://vk.com/prelest_professional,"Парфюмерия, косметика",Москва,"Бренд Прелесть Pro — ваш индивидуальный проводник к красоте волос каждый день!  Мы предлагаем женщинам, ценящим красоту и уход за собой, окунуться в мир модных тенденций и всегда выглядеть безупречно! Поэтому в нашем ассортименте вы найдете доступные стайлинговые и уходовые средства для быстрого и э"
302,39167,Huawei Mobile Belarus,https://vk.com/huaweimobileby,Электроника,Минск,"Добро пожаловать на официальную страницу бизнес-подразделения Huawei Consumer Business Group в Беларуси. Присоединяйтесь, чтобы быть в курсе мобильных инноваций и технологий!  Наши продукты - смартфоны, планшеты, смарт-часы, наушники и другие гаджеты - доступны у наших партнеров МТС, A1, «5 элемент»"
303,39135,Xtribal уникальные украшения,https://vk.com/x_tribal,"Украшения, бижутерия ",Москва,"Дорогие Друзья, магазин ""Xtribal"" предлагает вам уникальные украшения ручной работы, выполненные исключительно из натуральных материалов, собранных со всего мира. Мы специализируемся на серьгах необычных форм, тоннелях, уникальных обманках, редкой красоты кулонах, кольцах, бусах, браслетах, ожерелья"
304,39102,Сон и Я | Постельные принадлежности,https://vk.com/son_i_ya_43,Товары для дома,Киров,"Номер заявления 4941911409 Сеть магазинов «Сон и Я» специализируется на продаже постельных принадлежностей, подушек, одеял, матрасов, комплектов постельного белья, покрывал, пледов, трикотажных и махровых изделий в Кирове и области. Кроме того, в магазинах нашей сети вы можете приобрести одежду для "
305,39098,Мебель Кирова,https://vk.com/mebelkirova,Мебель,Киров,"✔ Специализируемся на Изготовлении Кухонных Гарнитуров и Шкафов. ✔ Работаем с 2013 года. ✔ Заключаем Договор, Предоставляем Гарантию. ✔ Выезд на Замеры (кухни и шкафы) по Кирову - Бесплатно. Тел.: 75-30-85 ✔ МАХ 8-922-975-30-85 ✔ Расчет Стоимости Кухни Онлайн - https://vk.com/mebelkirova?w=app561968"
306,39085,"Магазин тканей QUEEN FATIN Фатин, атлас, хлопок",https://vk.com/fatinoptom,Товары для творчества,Санкт-Петербург,"QUEEN FATIN | Магазин тканей СПб и интернет-магазин тканей по всей России ⠀ 📍 Магазин тканей в Санкт-Петербурге и интернет-магазин тканей с доставкой по России и за рубеж ⠀ 🧵 У нас вы найдете ткани для: • свадебных платьев • вечерних нарядов • костюмов, шоурумов, ателье • хобби, творчества, пошива н"
307,39068,Мастерская ODRI ( ODRI Studio),https://vk.com/club182690513,Другие хобби,,Вяжем салфетки вместе
308,39047,Rus Fashion |одежда | Садовод Ст4-71,https://vk.com/sadovod_style,"Одежда, обувь",Москва,"• Отправка от 1 вещи по РФ и СНГ • Самовывоз/посредник также • Можно забронировать товар • Розница с примеркой по розничной цене • Возврата нет! Обмен в случаях брака • Предоставляем живые фото и видео • Luxe качество - фабричный Китай,Турция Корея."
309,39011,"Клуб ТРИКОНЯ| походы, туризм, активный отдых!",https://vk.com/trikonia,"Туры, экскурсии",Красноярск,"Туристический клуб ""ТРИКОНЯ"" - Ваш путеводитель в мире АКТИВНОГО ТУРИЗМА с 2012 года! Номер в Едином реестре туроператоров РТО 020382   С нами активный ОТДЫХ ДОСТУПЕН КАЖДОМУ!  КАЛЕНДАРЬ ПУТЕШЕСТВИЙ Туристического клуба ""ТРИКОНЯ"" trikonia.ru/catalog  сайт: trikonia.ru telegram: t.me/trikoniaclub ins"
310,39009,САДАВОД ОБУВИ Корпус Б 2г-88 в розницу и оптом,https://vk.com/krossbar_sadavod,"Одежда, обувь",,"ГОРОД МОСКВА РЫНОК САДАВОД Корпус-Б 2г-88 Обувь Садавод штучно! Уважйми покупатель Прежде чем задавать вопросы в личных сообщениях, мы очень просим прочитать данный пост. Это сэкономит ваше и наше время‼  УСЛОВИЯ РАБОТЫ И ЧАСТЫЕ ВОПРОСЫ:  Где вы находитесь❓❓❓ Мы находимся на рынке ""Садовод"",  Корпус"
311,38993,iStore • Магазин • Apple • iPhone l Донецк,https://vk.com/istore_dn,Электроника,Донецк,"🍏«iStore» - это магазин оригинальной техники Apple, Samsung, Dyson, PlayStation, Яндекс и премиальных аксессуаров.  ☝️Мы на рынке с 2016 года. За это время более 20 000 человек стали нашими клиентами.  🤝Каждый день мы встречаем поклонников качественной техники в нашем флагманском магазине. Здесь в а"
312,38980,"""ТКАНИ ВАЛЕНТИНА"" -  Магазин тканей Италии в СПб",https://vk.com/tkanivalentinaspb,Другие товары,Санкт-Петербург,"🎀ИТАЛЬЯНСКИЕ ОДЕЖНЫЕ ТКАНИ В САНКТ-ПЕТЕРБУРГЕ С 2002г.🎀 СПб, ул. К.Заслонова, д.1 ст. метро Лиговский пр. Ежедневно, с 11.00 до 20.00, розница и опт (812)712-31-43, 8(905)289-29-84 (Telegram, WApp, Viber) Доставка по СПб и РФ."
313,38945,Сити Эскейп - клуб походов и приключений,https://vk.com/cityescapeclub,"Туризм, путешествия",Москва,"Турклуб City Escape — это увлеченные люди, для которых походы и путешествия — смысл жизни. Наша команда инструкторов с 2015 года занимается организацией самых разных путешествий – от тренировочных выходов в Подмосковье до многодневных экспедиций в труднодоступные уголки нашей страны, горных походов,"
314,38938,"Магазин одежды для новорожденных ""Лялечка""",https://vk.com/lyalyaekb,Детская одежда и обувь,Екатеринбург,"Комплекты и конверты для выписки на любой сезон, комбинезоны и одежда для новорождённых и малышей! Отправка по всей России"
315,38936,Хигаси суши,https://vk.com/higasi,Доставка еды,Калуга,ХИГАСИ - служба доставки суши и роллов в Калуге и Туле!    • Богатейший выбор японских блюд  • Только самые качественные ингредиенты  • Лучшие цены в городе  • Регулярные конкурсы и акции  • Акции для питомцев и натуральный корм в подарок  • Огромная любовь и уважение к нашим клиентам    Тула: 716-8
316,38915,Фолк-рок группа Сколот,https://vk.com/skolot_tambov,Рок,Тамбов,"Творчество группы ""Сколот""- это прежде всего авторская музыка с использованием инструментов и стилистики славяно-русского, скандинавского и кельтского фольклора в современном звучании.  Музыкальные композиции посвящены большому периоду истории славяно-русской культуры - от древнейших времен до наших"
317,38903,Искусственные Цветы 30-61 | Elshad | ТК Садовод,https://vk.com/christmastree3330,Товары для праздников,,Искусственные цветы | Широкий ассортимент в ТК «Садовод» Добро пожаловать в мир изысканных искусственных цветов! У нас вы найдёте идеальные решения для декора любого пространства: роскошные букеты на любой вкус; отдельные цветы и композиции для интерьера; декоративные ветки и зелень; свадебные компо
318,38836,Ёбидоёби Россия,https://vk.com/sushiyobidoyobi,Доставка еды,,"Собственно говоря, а почему бы и нет? :)  Выбирая название для службы доставки, мы постарались выделиться и запомниться Вам раз и навсегда. Иначе говоря – запасть в душу ещё до того, как наши вкуснейшие суши и роллы попадут в ваш желудок.  Это был долгий путь: сотни исписанных страниц, десятки часов"
319,38812,Украшения из натуральных камней | Гранада,https://vk.com/granadastone,"Украшения, бижутерия ",Москва,Авторские трендовые дизайны и премиум материалы 💕  Ваше ВАУ при открытие коробочки и эмоции от моих украшений - лучшая награда 😍  • 1500+ отзывов довольных клиентов. • 100 видов камней. • Все камни проверены на подлинность в Московской Геммологической Лаборатории. • Гарантия. • Напыление родий или п
320,38800,Вязаные игрушки Евгении Гавриловой,https://vk.com/evgenia_knitted_toys,Творчество,,"Регистрация в РКН  https://knd.gov.ru/license?id=6759b9f70acf9c1f42ebfcfe&registryType=bloggersPermission  Дорогой друг! Привет! 😊 Меня зовут Евгения Гаврилова, я люблю творить, люблю создавать что-то новое и интересное! 💕 Сейчас увлекаюсь вязанием, пока что ""не волшебник, а только учусь""! Поэтому х"
321,38733,Туроператор Небо56 | Оренбург,https://vk.com/nebo56,Туристическое агентство,Оренбург,"ООО ""Оренбургский центр внутреннего туризма. Туроператор Небо56  Наши основные направления:  - Туры выходного дня  из Оренбурга  ● горнолыжные поездки (Банное, Абзаково, Белорецк, Аджигардак,Ташла, Кувандык)  ● экскурсионные туры (Казань, Уфа, Самара, Аркаим, Тольятти, Нижний Новгород и т.д);  ● экс"
322,38703,Alina Shop | Садовод 24-67,https://vk.com/sadavodshoping,"Одежда, обувь",Москва,"Прямой поставщик женской одежды до 74 размера!  💕 Отправляем при заказе от 3000₽, можно разных вещей и размеров 💕 Штучно самовывоз с нашей точки 💕 Можно забронировать понравившуюся вещь 💕 ТК Садовод, место 24-67  💕 Контакты для связи и только туда писать по заказам!   - https://vk.me/sadavodshoping "
323,38697,Zollider,https://vk.com/zollider,"Парфюмерия, косметика",,"№ 7159113556  Zollider — мужской порядок, ничего лишнего  Минимум средств для максимального результата. Для мужского ухода не требуется огромного арсенала средств. Только по-настоящему эффективные и необходимые продукты.  https://knd.gov.ru/license?id=676ff13c6aa9672b96351666&registryType=bloggersPe"
324,38683,Рыбалка в Марий Эл | Рыбалка Йошкар-Ола | Рыбаки,https://vk.com/fishing12,ВКонтакте,Йошкар-Ола,"Группа ""Рыбалка в Марий Эл"" была создана в 2008 году. Ее цель - объединить рыбаков Йошкар-Олы и всей республики Марий Эл. В группе у нас есть уникальная возможность общаться, обмениваться опытом и интересными наблюдениями. Здесь вы узнаете: а) самые ""клёвые"" места республики. б) самые распространенн"
325,38645,ТЕЛО ГОВОРИТ: книги по психосоматике,https://vk.com/book_telogovorit,Литература,,"Самая популярная серия книг по научной психосоматике в России! О чем говорит тело? Как эмоции влияют на его здоровье? Что делать с тревогой и стрессом?  Упражнения, практические и теоретические материалы, а также уникальные знания, которыми автор делится с читателями!   ⭐Новая книга ""ГОЛОД ТЕЛА"":  ⭐"
326,38635,Сумки Люкс Садовод 23-122,https://vk.com/club184506091,"Одежда, обувь",Москва,"✅УСЛОВИЯ РАБОТЫ Отправка для регионов от 3х или 1x сумок автобусом и транспортной компанией (Байкал сервис, Пэк, сдэк, Деловые линии); доставка⛟ от нас до ТК за груз любого объёма -200₽; доставка  до автобуса🚌 на Садоводе- 100₽Так же есть отправка ПОЧТОЙ РОССИИ🛫🚅 от 1 сумки, стоимость отправки  за 1"
327,38595,MisterProt | Спортивное питание без добавок,https://vk.com/mister_prot,Спортивное питание,Ставрополь,"Спортивное питание без добавления подсластителей, пеногасителей, загустителей и т.п.:  1 - экономия до 60% ваших расходов; 2 - высокое содержание целевых компонентов; 3 - ничего лишнего в составе! 4 - вкусы приобретаются по желанию отдельно)  Возможна оплата при получении! Быстрая отправка в регионы"
328,38590,Велосипеды | Коляски | Электровело СтильНяшки,https://vk.com/stilnyashki43,Товары для детей,Киров,💫В нашем магазине вы можете найти большой ассортимент детских товаров в наличии по самым привлекательным ценам в Кирове  СтильНяшки Киров Велосипеды | Электромобили Коляски | Снегокаты | Электровелосипеды Офисные и игровые кресла | Ёлки литые | Санки 🛷   Коляски Тюбинг  Санки 🛷  Санки-коляска Электр
329,38559,AUTO ACCENT 09/105  Автоаксессуары.,https://vk.com/avtoaccentt,Автопроизводитель,Москва,"⚡⚡⚡ПРЯМОЙ ПОСТАВЩИК ⚡⚡⚡  📎 Наше место ТК Садовод 09/105 автоаксессуары 📎 Работаем напрямую с заводами-изготовителями. Автоаксессуары купить дешево. Подголовники для автомобилей с логотипом.Автомобильные  брелки с логотипом. Авто парфюм с логотипом.  📎🔥🔥🔥Отправка от 5000 рублей любыми ТК, автобусами."
330,38498,Exclusive,https://vk.com/shop_exclusive,Другие товары,,"Официальный производитель обложек, клатчей, сумок, ремней, портмоне и других аксессуаров по индивидуальному заказу.   ▪ Работаем с 2014 года ▪ Более 3500 отзывов в ВК ▪ Возможна оплата при получении ▪ Фото\видео готового заказа"
331,38480,CHERRYBOOM SHOES обувь,https://vk.com/cherryb_shoes,"Одежда, обувь",,"4949811151  Каждая коллекция сделана с любовью!   ИП Рабченок Леонид Олегович ИНН 744716296664 Юридический адрес: 454084, Челябинская обл, Челябинск г, Болейко ул, дом № 2, кв.153 ОГРН 318745600161441  Сайт: www.cherry-shoes.ru Telegram https://t.me/cherryb_shoes_official"
332,38470,CLINLICAR | Автоподбор,https://vk.com/clinlicar,Услуги для автовладельцев,Санкт-Петербург,🟢ClinliCar - один из лидеров на рынке по автоподбору и импорту автомобилей с пробегом.      ✅10 лет на рынке автоуслуг. Работаем с 2016г.     ✅4 филиала: Санкт-Петербург Москва Екатеринбург Минск (Беларусь)     ✅В нашей компании работают только квалифицированные эксперты.     ✅Наши эксперты произвел
333,38437,Путешествия и туризм! Туроператор ОСР,https://vk.com/clubkscop,"Туры, экскурсии",Санкт-Петербург,"Я путешествую, значит я живу!  ""ОСР"" - открой свою Россию!   Туроператор с опытом 20 лет.  Реестр туроператоров № В031-00161-77/01942501  Наш МАХ канал: https://max.ru/id9728030631_biz  Группа в МАХ для АГЕНТСТВ: https://max.ru/join/GyPuQnGbZO3qlPLuYTMUKtwEKV0hoykg-s1cvBUHrrw  Санкт-Петербург, Москв"
334,38437,UTECH,https://vk.com/utech_russia,"Строительные материалы, инструменты",Химки,UTECH  - это российский производитель и поставщик комплексных инженерных продуктов и решений для крупномасштабных строительных и промышленных проектов с открытым партнёрским подходом на каждом этапе сотрудничества – от проектирования до эксплуатации.  Регистрация в РКН https://www.gosuslugi.ru/snet/
335,38434,Детская одежда. Машинная вышивка,https://vk.com/babydecor,Детская одежда и обувь,Санкт-Петербург,"BabyDecor - это, в первую очередь, магазин эксклюзивной детской одежды. Эксклюзив и оригинальность которой, кроме авторских платьев и авторской одежды, придаёт машинная вышивка по индивидуальным макетам и инкрустация стразами Swarovski.  Кроме того мы предлагаем любую вышивку на банных халатах, поло"
336,38419,● Леший ● Туризм | Выживание | Тактика,https://vk.com/leshiy_online,Активный отдых,Новосибирск,"Мы рады представить вам интересную и полезную информацию о методах и способах выживания в дикой природе, о туризме и военных играх.  Кроме того представляем широкий ассортимент товаров, которые помогут в походе, на охоте и рыбалке или в любой экстремальной ситуации. А так же товары для страйкбола и "
337,38415,Мир Лоскутов - ткани для лоскутного шитья,https://vk.com/mirloskutov,Товары для творчества,Москва,"Мир лоскутов.ру -  интернет магазин отечественных тканей для лоскутного шитья.  Мы создаем готовые наборы для пошива лоскутных одеял и наборы лоскутов для пэчворка. В продаже бязь, перкаль, шуйский ситец. Доставляем заказы почтой и транспортными компаниями. тел: 89055828604  Эл. почта: mail@mirlosku"
338,38351,Садовник,https://vk.com/sadovnik43,"Товары для дачи, огорода",Киров,"🌱 Добро пожаловать в наш магазин ""Садовник""! Здесь вы найдете все необходимое для создания настоящего уютного уголка природы у себя на даче. Мы предлагаем широкий ассортимент качественного посадочного материала, рассады, хвойных, декоративных и плодовых растений, чтобы вы могли создать свой собствен"
339,38341,Игрушки Садовод 9 линия 90-92 павильон,https://vk.com/sadovod_igrushka,"Игры, игрушки",,УСЛОВИЯ РАБОТЫ И ЧАСТЫЕ ВОПРОСЫ:   🚶🚶🏃🏃🏃✅ 1. Как оформить заказ  Отправьте в личные сообщения фото  Мы уточняем по наличию и считаем сумму заказа Вы оплачиваете Мы отправляем  Так же заказ можно отправить на what’s app телеграм+ 79037072112 3. Чьё производство. Китай   Заказ принимаем для отправка о
340,38340,ГАРВИН - удобный поставщик инструмента,https://vk.com/garwin_tools,"Строительные материалы, инструменты",Санкт-Петербург,Компания ГАРВИН | GARWIN (ГаражТулс) — эксперт в области поставок профессионального и промышленного инструмента.  Почему клиенты выбирают нас: ⏱ 30 минут. Быстрая обработка запросов 🔧 100 торговых точек по России и СНГ 📈 29 лет экспертизы в инжиниринге - оптимизируем затраты промышленных производств
341,38321,Магия Игрушки. Ирина Лукьянова,https://vk.com/magictoysclub,Творчество,,"Ёлочные и интерьерные игрушки своими руками. Создаю с душой, учу с удовольствием  Регистрация в Роскомнадзоре https://gosuslugi.ru/snet/68c189c4a1e444013f28d482"
342,38300,SolarDream. Схемы для вязания с бисером.,https://vk.com/club134202115,Творчество,Балашиха,"ДОБРО ПОЖАЛОВАТЬ в нашу группу.  Авторские схемы для вязания с бисером.   Группа "" SolarDream. Схемы для вязания с бисером. "" включена в перечень персональных страниц, объем аудитории каждой из которых составляет более десяти тысяч пользователей социальной сети :  https://gosuslugi.ru/snet/67972610c"
343,38275,Бомбочки | Гипс | Свечи |Обучение,https://vk.com/ro_sa_love,Творчество,,"Добро пожаловать в пространство творчества и красивых ароматных изделий 🌿  Здесь вы найдёте всё о создании бомбочек для ванны, свечей, гипсовых изделий и уходовой косметики — просто, понятно и с поддержкой практикующего мастера.  Это место для вас, если вы хотите: • научиться создавать бомбочки, скр"
344,38270,Набойка. Штампы.Мастерская Катерины Кондратьевой,https://vk.com/naboyka,Товары для творчества,Санкт-Петербург,"Хотите перенести свои узоры на ткань, бумагу, керамику, глину, кожу, полимерную глину и другие поверхности — без сложных станков и больших вложений? Здесь вы найдёте штампы из твёрдых пород дерева, которые прослужат долгие годы и помогут в работе с самыми разными материалами, будь то текстильные про"
345,38217,"Айфон телефоны Тыва Кызыл продать, обмен",https://vk.com/prodamiphonekyzyl1,"Техника, электроника",Кызыл,"🔥ВАЖНАЯ ИНФОРМАЦИЯ🔥  Добро пожаловать! Мы занимаемся продажей и приемом ЛУЧШЕЙ б/у техники (телефоны lphone, ноутбуки) в Республике Тыва.  ⚡Даем ГАРАНТИЮ 14 дней на нашу технику. ⚡ Работаем только с ЛУЧШИМИ и САМЫМИ ПРОВЕРЕННЫМИ товарами. ⚡ Вам срочно нужны деньги? Мы примем вашу технику по хорошей "
346,38144,Доберманы Life,https://vk.com/dober_life,Домашние и дикие животные,,"Роскомнадзор № 6034839608  Доберман — символ интеллекта, смелости и преданности. Наша группа для любителей этой выдающейся породы — делимся фото и видео, полезной информацией, советами, историями и опытом. Обсуждаем уход, воспитание, безопасность и все, что связано с нашими замечательными питомцами."
347,38137,Женская Одежда VOJIB К.А 2Б 35,https://vk.com/vojib_abduloev,"Одежда, обувь",Москва,Женская Одежда Оптом и в Розницу Садовод ТЦ  2Б 35 К.А
348,38105,"Авторские духи и ароматы ""Siordia Parfums""",https://vk.com/siordia_parfums,"Парфюмерия, косметика",Ростов-на-Дону,"Авторские ароматы “Siordia parfums” создаются по любимым книгам и фильмам! У нас вы найдёте ароматы посвящённые вселенной “Ведьмака”, “Игре Престолов”, “Властелину Колец”, “Гарри Поттеру” и другим персонажам книг, сериалов и фильмов, историческим личностям, художникам и даже событиям!   В нашем сооб"
349,38077,Victoria Stenova,https://vk.com/stenova,Интерьер,,"🔹 Компания Victoria Stenova разрабатывает дизайны обоев и производит их совместно с Генеральным партнером ООО ""Маякпринт"".   🔹 Мы стремимся внести на рынок новые идеи для создания современных интерьеров и инновационный подход к производству обоев, используя только высококачественное сырье.   🔹 В 201"
350,38040,Видеорегистраторы Mio,https://vk.com/mio_russia,Автотовары,,Компания Mio Technology — ведущий разработчик и производитель электроники для автомобилистов. Видеорегистраторы Mio давно заслужили признание пользователей за высокое качество устройств и постпродажный сервис.
351,38038,Тур360 | Турфирма | Волгоград Волжский,https://vk.com/tur__360,Активный отдых,Волгоград,"Автобусные туры по России, в Беларусь и Абхазию.  10 лет в туризме!  Путешествия - это не просто наша работа, это наша любовь и образ жизни!   Почему нас выбирают?  ✔️ Официальный туроператор России (внесены в реестр Ростуризма) ✔️ Выгодные автобусные туры, где всё продумано за вас! ✔️ Большой выбор"
352,38018,Корпус Б 2Б-34 «GLAMOUR SHOP»,https://vk.com/glamourshop22,"Одежда, обувь",Москва,"Наш адрес: Рынок Садовод,  Корпус Б 2Б-34 Watsapp Messenger: +7977-716-10-29 ❤УСЛОВИЯ СОТРУДНИЧЕСТВА:❤ ✅ График работы: ✳с пн-вс 6-00 до 18-00 💹  🤗Всех ждём 😍 ✅ Тел: +7 977-716-10-29 ✅ Отправка в любой город почтой России или транспортной компанией💌🚛 🚌🚅 ОТПРАВКА: от 2000руб. 🚶‍♂🚶‍♀Самовывоз от 1шт. "
353,37957,Женская одежда оптом и в розницу Садовод Ст6-38,https://vk.com/saani_store,"Одежда, обувь",Москва,"Добро пожаловать в наше сообщество в VK О нас: компания «SAANI» основана   в 2016 году. С тех самых пор мы продаем модную женскую одежду как оптом так и в розницу.  Адрес магазина: г. Москва, 14 км МКАД, торговый комплекс Садовод, линия ст-6 павильон 38; Часы работы: с 08:00 до 19:00  ✅ Номера рабоч"
354,37896,ЛенКартофель | Доставка натуральных продуктов,https://vk.com/lenkartofel,"Продукты питания, напитки",Санкт-Петербург,"Доставка вкусных и свежих овощей, фруктов, орехов, сухофруктов, зелени и мёда до квартиры по Санкт-Петербургу и Ленинградской области.  Привезём натуральные вкусные овощи и фрукты прямо к Вам домой или в офис.  Мы осуществляем бесплатную доставку при заказе от 2500 руб. в пределах КАД + Мурино/Девят"
355,37890,PALMOST | ПАЛМОСТ,https://vk.com/prosto_palmost,"Стиль, одежда, обувь",Севастополь,"Жизнь российского бренда одежды со всеми вытекающими!  PALMOST - наш бренд одежды, все товары которого можно приобрести на сайте Wildberries - https://www.wildberries.ru/brands/palmost  На все вопросы отвечаем в ЛС группы."
356,37870,Мебельный Светофор,https://vk.com/mebelsvetofor,Мебель,,"Компания «Мебельный светофор» занимается продажей недорогой и качественной мебели отечественного производства.  Мы доставляем мебель напрямую со склада фабрик и именно поэтому у неё низкая цена.   Почему стоит выбрать Мебельный Светофор? ~Гарантия низкой цены  ~Постоянный складской запас, заводская "
